ProductActivity__createdAt,Date,ProductActivity__shoeSize,ProductActivity__localAmount
04/05/2020,2020-05-04,10.5,1401
04/05/2020,2020-05-04,10.5,1365
04/05/2020,2020-05-04,10.5,1364
04/05/2020,2020-05-04,11,1500
04/05/2020,2020-05-04,11,1478
04/05/2020,2020-05-04,11,1400
04/05/2020,2020-05-04,11,1350
04/05/2020,2020-05-04,11.5,1200
04/05/2020,2020-05-04,12,1233
04/05/2020,2020-05-04,12,1123
04/05/2020,2020-05-04,13,1099
03/05/2020,2020-05-03,10.5,1300
30/04/2020,2020-04-30,8.5,1601
30/04/2020,2020-04-30,9.5,1385
30/04/2020,2020-04-30,12,951
29/04/2020,2020-04-29,10.5,1301
29/04/2020,2020-04-29,11,1300
29/04/2020,2020-04-29,11,1336
29/04/2020,2020-04-29,13,1075
28/04/2020,2020-04-28,9,1485
28/04/2020,2020-04-28,10,1300
28/04/2020,2020-04-28,12,915
28/04/2020,2020-04-28,12,999
27/04/2020,2020-04-27,9.5,1190
27/04/2020,2020-04-27,10.5,1350
27/04/2020,2020-04-27,11,1300
27/04/2020,2020-04-27,11,1274
27/04/2020,2020-04-27,11,1220
27/04/2020,2020-04-27,12,915
26/04/2020,2020-04-26,11.5,1200
25/04/2020,2020-04-25,10.5,1300
24/04/2020,2020-04-24,10.5,1299
24/04/2020,2020-04-24,11.5,1186
24/04/2020,2020-04-24,12,1233
23/04/2020,2020-04-23,10,1072
23/04/2020,2020-04-23,13,975
22/04/2020,2020-04-22,9.5,1360
22/04/2020,2020-04-22,10.5,1290
22/04/2020,2020-04-22,10.5,1097
22/04/2020,2020-04-22,10.5,1200
22/04/2020,2020-04-22,11,1150
20/04/2020,2020-04-20,8.5,1380
20/04/2020,2020-04-20,10,1300
20/04/2020,2020-04-20,10,1260
20/04/2020,2020-04-20,10,1255
20/04/2020,2020-04-20,11,1150
19/04/2020,2020-04-19,13,1000
18/04/2020,2020-04-18,9,1431
18/04/2020,2020-04-18,10,1199
17/04/2020,2020-04-17,9,1275
16/04/2020,2020-04-16,10,1115
16/04/2020,2020-04-16,11,1175
15/04/2020,2020-04-15,8.5,1419
15/04/2020,2020-04-15,11.5,976
15/04/2020,2020-04-15,13,849
14/04/2020,2020-04-14,10.5,1183
14/04/2020,2020-04-14,12,998
13/04/2020,2020-04-13,8.5,1340
13/04/2020,2020-04-13,10,1100
